# wl command inventory — ASUS GT-AC5300, firmware 3.0.0.4.386_51582
# Regenerate with scripts/wl-inventory.sh. See docs/10-wl-commands.md for the tier model.
#
# A = bare call reads, safe to sweep      B = bare call acts, exclude from sweeps
# C = transmits or needs arguments        D = persistent/regulatory/calibration, do not touch
#
command	tier	help
rate	A	valid values for 802.11a are (6, 9, 12, 18, 24, 36, 48, 54)
rate_histo	A	Get rate hostrogram
rateparam	A	set driver rate selection tunables
rateset	A	With no args, returns the rateset. Args are
ratetbl_ppr	A	Usage: For get: wl ratetbl_ppr
rclass	A	chanspec
rdvar	A	
reassoc	A	Usage: wl reassoc <bssid> [options]
reboot	B	
regulatory	D	Get/Set regulatory domain mode (802.11d). Driver must be down.
reinit	A	
reset_cnts	B	Clear driver counter values
reset_d11cnts	B	reset 802.11 MIB counters
restart	B	
revinfo	D	
rifs	A	
rifs_advert	A	set/get the rifs mode advertisement status; usage: wl rifs_advert <-1/0> (Auto/Off)
rm_rep	A	
rm_req	C	specify a series of measurement types each followed by options.
rmc_ackmac	A	Set/Get ACK required multicast mac address
rmc_ackreq	A	Set/Get ACK rmc_mode 0 disable, 1 enable transmitter, 2 enable initiator
rmc_ar	A	If there is no match among current RMC receivers, it will return fail
rmc_ar_timeout	A	Set/Get rmc active receiver timeout in ms
rmc_rssi_delta	A	Display/Set RSSI delta to switch receive leader
rmc_rssi_thresh	A	Set/Get minimum rssi needed for a station to be an active receiver
rmc_stats	A	Display/Clear reliable multicast client statistical counters
rmc_status	A	Display reliable multicast client status
rmc_txrate	C	Set/Get a fixed transmit rate for the reliable multicast:
rmc_vsie	A	Display/Set vendor specific IE contents
rmwep	A	
roam_channels_in_cache	A	Get a list of channels in roam cache
roam_channels_in_hotlist	A	Get a list of channels in roam hot channel list
roam_delta	A	Set the roam candidate qualification delta. roam_delta [integer [, a/b]]
roam_prof	A	get/set roaming profiles (need to specify band)
roam_scan_period	A	Set the roam candidate qualification delta. (integer)
roam_trigger	A	Get or Set the roam trigger RSSI threshold:
roamscan_parms	A	set/get roam scan parameters
rpcalvars	D	Set/get temp RPCAL parameters
rpmt	A	
rrm	A	Usage: wl rrm [0/1] to disable/enable RRM feature
rrm_bcn_req	C	send 11k beacon measurement request
rrm_chload_req	C	send 11k channel load measurement request
rrm_civic_req	C	Send 802.11k Location Civic request frame
rrm_config	A	Configure information (LCI/Civic location) for self
rrm_frame_req	C	send 11k frame measurement request
rrm_lci_req	C	Send 802.11k Location Configuration Information (LCI) request frame
rrm_lm_req	C	send 11k link measurement request
rrm_locid_req	C	Send 802.11k Location Identifier request frame
rrm_nbr_add_nbr	A	add node to 11k neighbor report list
rrm_nbr_del_nbr	A	delete node from 11k neighbor report list
rrm_nbr_list	A	get 11k neighbor report list
rrm_nbr_req	C	send 11k neighbor report measurement request
rrm_noise_req	C	send 11k noise measurement request
rrm_stat_req	C	send 11k stat measurement request
rrm_stat_rpt	A	Read 11k stat measurement report from STA
rrm_txstrm_req	C	Send 802.11k Transmit Stream/Category measurement request frame
rsdb_mode	A	Set/Get the RSDB mode. Possible values auto(-1), mimo(0), rsdb(1), 80p80(2)
rssi	A	
rssi_cal_freq_grp_2g	A	usage: wl_rssi_cal_freq_grp_2g [chan_1_2,chan_3_4,...,chan_13_14]
rssi_event	A	Set parameters associated with RSSI event notification
rts	A	
rxmcsset	A	get Receive MCS rateset for 11N device
sample_collect	A	Optional parameters ACPHY/HTPHY/(NPHY with NREV >= 7) are:
sar_limit	D	Set/Get sar_limit
sc_chan	A	20MHz : [2g|5g]<channel>[/20]
scan	B	Default to an active scan across all channels for any SSID.
scan_channel_time	B	Get/Set scan channel time
